NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
Domes Resorts,Greece,Thessaloniki,555 35,https://navigate.itb.com/company/Domes-Resorts--1207237,Irini Roidou,Sales Executive
Dom Pedro Lisboa,Portugal,Lisboa,1070-110,https://navigate.itb.com/company/Dom-Pedro-Lisboa--1012338,Sónia Matias,
Dorint Hotels & Resorts,Germany,Köln,50858,https://navigate.itb.com/company/Dorint-Hotels-Resorts--1214039,Doris Richter,Projektmanagerin der Geschäftsführung
Dorint Hotels & Resorts Schweiz,Switzerland,Basel,4058,https://navigate.itb.com/company/Dorint-Hotels-Resorts-Schweiz--1014347,Karim Abd El Aziz,
DORISOL HOTELS MADEIRA,Portugal,Funchal,9004-535,https://navigate.itb.com/company/DORISOL-HOTELS-MADEIRA--1216638,António Silva,
DOT Lifestyle,Switzerland,Lugano,6900,https://navigate.itb.com/company/DOT-Lifestyle--1216518,Frederica Pagani,
"DOUBLE SIX LUXURY HOTEL, SEMINYAK",Indonesia,Badung,80361,https://navigate.itb.com/company/DOUBLE-SIX-LUXURY-HOTEL-SEMINYAK--1012471,Dayu Basmiari,Assistant General Manager Corporate
DoubleTree by Hilton Marjan Island,United Arab Emirates,Ras Al Khaimah,14800,https://navigate.itb.com/company/DoubleTree-by-Hilton-Marjan-Island--1208639,Elena Ivanova,Director of Sales
DoubleTree By Hilton Trieste,Italy,Trieste,34122,https://navigate.itb.com/company/DoubleTree-By-Hilton-Trieste--1012476,Alessia Tofani,"Sales Manager, Leisure Market"
DouroAzul,Portugal,Porto,4050-387,https://navigate.itb.com/company/DouroAzul--1012478,Sofia Rodrigues,
Dream Hotels & Resorts,South Africa,Johannesburg,2021,https://navigate.itb.com/company/Dream-Hotels-Resorts--1207037,wayne neath,Resort Sales Tribal Chief
Dreams Resorts Egypt,Egypt,Cairo,1277,https://navigate.itb.com/company/Dreams-Resorts-Egypt--1012559,Wael Farouk,Director of sales & Marketing
Drift Thelu Veliga Retreat,Maldives,Male',0000,https://navigate.itb.com/company/Drift-Thelu-Veliga-Retreat--1215960,Aishath Suhaila,Director of Sales
DSR Hotel Holding GmbH,Germany,Rostock,18055,https://navigate.itb.com/company/DSR-Hotel-Holding-GmbH--1215081,Sabrina Jahn,Teamleiterin Personalmarketing
Dubai,United Arab Emirates,Dubai,594,https://navigate.itb.com/company/Dubai--1211938,Najwa Mulla,"Senior Manager, Brand Activations"
"Dukes The Palm, a Royal Hideaway",United Arab Emirates,Dubai,120015,https://navigate.itb.com/company/Dukes-The-Palm-a-Royal-Hideaway--1012676,Amer Khoury,Director of Sales & Marketing
Dukley Hotel & Resort,Montenegro,Budva,85310,https://navigate.itb.com/company/Dukley-Hotel-Resort--1107756,Milica Kastratovic,Events Manager
Dusit Hotels and Resorts,Thailand,Bangkok,10330,https://navigate.itb.com/company/Dusit-Hotels-and-Resorts--1012718,Pamela Ide,Director of Sales
Dusit Thani Hua Hin,Thailand,Petchburi,76120,https://navigate.itb.com/company/Dusit-Thani-Hua-Hin--1012720,Pantipa Kruasunthornwanit,Director of Sales and Marketing
Dusit Thani Laguna Phuket,Thailand,Phuket,83110,https://navigate.itb.com/company/Dusit-Thani-Laguna-Phuket--1012722,Pariyakorn Pansiri,Director of Sales and Marketing
Dusit Thani Maldives,Maldives,Male',00,https://navigate.itb.com/company/Dusit-Thani-Maldives--1207530,Rifaa Ath Saeed,DOSM
Eagles Resort,Greece,Ouranoupolis,63075,https://navigate.itb.com/company/Eagles-Resort--1205463,Yannis Avramidis,Director of Sales
Eastend Hotels and Resorts,India,Idukki,685612,https://navigate.itb.com/company/Eastend-Hotels-and-Resorts--1217024,Rajesh Kolappuram,Corporate General Manager
EB Hotel Miami,United States of America,Miami,33166,https://navigate.itb.com/company/EB-Hotel-Miami--1215928,Brenda Solano,
EcoBoo Maldives,Maldives,"Thinadhoo, Vaavu Atol",10020,https://navigate.itb.com/company/EcoBoo-Maldives--1215967,Fernando Bandes,Sales Manager
Eden Bleu Hotel,Seychelles,Eden Island,0000,https://navigate.itb.com/company/Eden-Bleu-Hotel--1013408,Joao Alves,
Efteling Theme Park Resort,Netherlands,Kaatsheuvel,5171 KW,https://navigate.itb.com/company/Efteling-Theme-Park-Resort--1205246,Paco Rodriguez,Account Manager Traveltrade
Egyptian Hotels Association,Egypt,Giza,12411,https://navigate.itb.com/company/Egyptian-Hotels-Association--1216495,Eman Badawy,Director of sales & Marketing
Ela Excellence Resort Belek - Aktay Otel İsletmeleri A.S,Türkiye,Antalya,07130,https://navigate.itb.com/company/Ela-Excellence-Resort-Belek---Aktay-Otel-İsletmeleri-A-S--1001475,Murat SUSLU,Marketing Manager
Element by Westin Ubud Bali,Indonesia,Bali,80571,https://navigate.itb.com/company/Element-by-Westin-Ubud-Bali--1214879,Ni Kadek Yuli Undayani,Director of Sales
Elephant Hills,Thailand,Surat Thani,84250,https://navigate.itb.com/company/Elephant-Hills--1215834,Potjana Sujinno,Marketing Manager
Elewana Collection,Kenya,Nairobi,00506,https://navigate.itb.com/company/Elewana-Collection--1013774,Nrupali Dave,Marketing Manager
"El Gouna, Red Sea",Egypt,Cairo,11221,https://navigate.itb.com/company/El-Gouna-Red-Sea--1013638,Hania Teima,
ELITE WORLD HOTELS & RESORTS,Türkiye,ISTANBUL,34437,https://navigate.itb.com/company/ELITE-WORLD-HOTELS-RESORTS--1013807,ALP ALPMEN,
Ella Resorts,Greece,"Marousi, Athens",15125,https://navigate.itb.com/company/Ella-Resorts--1207400,George Doucas,Marketing & Communications Director
El Nido Resorts,Philippines,Taguig,1634,https://navigate.itb.com/company/El-Nido-Resorts--1216352,Jose Marie Bernardino,Sr. Group Director of Sales
El Qalaa El Hamraa for property management,Egypt,Cairo,11522,https://navigate.itb.com/company/El-Qalaa-El-Hamraa-for-property-management--1216940,rawan aboaly,Marketing specialist
Emaar Hospitality Group - Dubai Creek Harbour,United Arab Emirates,Dubai,9440,https://navigate.itb.com/company/Emaar-Hospitality-Group---Dubai-Creek-Harbour--1216266,Shazia Ahmed,Cluster Sales
Emerald Collection,Maldives,Male',0000,https://navigate.itb.com/company/Emerald-Collection--1013907,Mattia Scarapicchia,Global Sales & Marketing Manager
Emerald Resort Zanzibar,Italy,Rome,0,https://navigate.itb.com/company/Emerald-Resort-Zanzibar--1216731,Scott le Roi,DIRECTOR
EM Hotels,Colombia,Cartagena,0,https://navigate.itb.com/company/EM-Hotels--1013880,IOANA NAN,"Comercial representative - Germany, Netherlands"
Enashipai Resort and Spa,Kenya,Nairobi,00200,https://navigate.itb.com/company/Enashipai-Resort-and-Spa--1207385,Mary Kimenju,Sales Account Manager
ENFINITI ESCAPES (M) SDN BHD,Malaysia,Kota Damansara,47180,https://navigate.itb.com/company/ENFINITI-ESCAPES-M-SDN-BHD--1216200,Zaiton Ahmad Fuad,
Ensana Health Spa Hotels,Czechia,Prague 1,110 00,https://navigate.itb.com/company/Ensana-Health-Spa-Hotels--1014077,Yakov Berkovitch,
Entumoto Safari Camp,Kenya,Masai Mara Reserve,Masai Mara Reserve,https://navigate.itb.com/company/Entumoto-Safari-Camp--1215883,Felix von Heland,Head of Marketing
Erinvale Estate Hotel & Spa,South Africa,Cape Town,7130,https://navigate.itb.com/company/Erinvale-Estate-Hotel-Spa--1216651,Cheryl-Ann Doveton,Sales Lead
Esperia Group,Greece,Rhodes,85100,https://navigate.itb.com/company/Esperia-Group--1204796,Angelika Vasilaki,Sales Manager
Es Saadi Marrakech Resort,Morocco,Marrakech,40000,https://navigate.itb.com/company/Es-Saadi-Marrakech-Resort--1014287,Soumia NOUSSAIRI,Director of Sales
ETHNO HOTELS,Türkiye,Antalya,07430,https://navigate.itb.com/company/ETHNO-HOTELS--1045206,Cagri Damar,Marketing Manager
Eurostars Hotel Company S.L,Spain,Madrid,28027,https://navigate.itb.com/company/Eurostars-Hotel-Company-S-L--1214619,Estel Munne,"Marketing, Communication, and Project Innovation"
Exclusive Reservations & Marketing,Namibia,Windhoek,9000,https://navigate.itb.com/company/Exclusive-Reservations-Marketing--1206355,Leana Marais,Owner
Experienciah Hotels & Resorts,Morocco,rabat,20000,https://navigate.itb.com/company/Experienciah-Hotels-Resorts--1217140,Sana EL AITONI,Commercial Director
Extraordinary,South Africa,"Bryanston, Johannesburg",2191,https://navigate.itb.com/company/Extraordinary--1215550,Cindy Sheedy Walker,Consultant
Fairfield by Marriott Bali Kuta Sunset Road,Indonesia,Bali,80361,https://navigate.itb.com/company/Fairfield-by-Marriott-Bali-Kuta-Sunset-Road--1214878,Ni Komang Budiani,Director of Sales & Marketing
Fair House Villas and Spa,Thailand,Koh Samui,84330,https://navigate.itb.com/company/Fair-House-Villas-and-Spa--1216253,Kunnuda Wallberg,Cluster Director of Sales and Marketing
Fair Job Hotels e.V.,Germany,Hamburg,22083,https://navigate.itb.com/company/Fair-Job-Hotels-e-V--1015093,Helene Jeske,Operations & Event Manager
Fairmont Hotels and Resorts Kenya,Kenya,"Nanyuki, Nairobi, Masai Mara",PO BOX 35,https://navigate.itb.com/company/Fairmont-Hotels-and-Resorts-Kenya--1015114,Veronique Delattre,General Manager
Fairmont La Hacienda Costa del Sol,Spain,San Roque,11310,https://navigate.itb.com/company/Fairmont-La-Hacienda-Costa-del-Sol--1216702,Eva Gonzalez,Assistant Director of Sales Leisure
Falkensteiner Hotels & Residences,Austria,Wien,1020,https://navigate.itb.com/company/Falkensteiner-Hotels-Residences--1205465,Meggy Mendes,Business Development Manager Leisure
Falkensteiner Spa Resort Marienbad,Czechia,Praha 1,110 00,https://navigate.itb.com/company/Falkensteiner-Spa-Resort-Marienbad--1216381,Radka Ševcová,
Farah Nile Cruise,Egypt,Cairo,12333,https://navigate.itb.com/company/Farah-Nile-Cruise--1015194,Eman Badawy,Director of sales & Marketing
Faranda Hotels & Resorts,Colombia,CARTAGENA,0,https://navigate.itb.com/company/Faranda-Hotels-Resorts--1015195,SADIS MERCEDES SAJONA LARA,Business development manager
Farma Sotira,Albania,Leskovik,7401,https://navigate.itb.com/company/Farma-Sotira--1217091,Jonida Maria Hëna,Owner
FAROS HOTEL AYIA NAPA,Cyprus,AMMOCHOSTOS,5344,https://navigate.itb.com/company/FAROS-HOTEL-AYIA-NAPA--1015230,Andreas Christodoulides,General Manager
Feline Holidays A/S,Germany,Hamburg,20354,https://navigate.itb.com/company/Feline-Holidays-A/S--1015359,Heidi Kusch,Online Marketing & SEO
Felix Hotels,Italy,Arzachena,07021,https://navigate.itb.com/company/Felix-Hotels--1216595,Adriana Pintus,sales
Fell Centre Kiilopää,Finland,Saariselkä,99830,https://navigate.itb.com/company/Fell-Centre-Kiilopää--1216972,Tiia Mustonen,Sales and Marketing Manager
Feriepartner Danmark,Denmark,Frederiksberg,1827,https://navigate.itb.com/company/Feriepartner-Danmark--1011079,Jesper Blomberg,CEO decentral
Festa Hotels PLC,Bulgaria,Sofia,1404,https://navigate.itb.com/company/Festa-Hotels-PLC--1216407,Stoyan Dolapchiev,Sales Director
Fincallorca GmbH,Germany,Hamburg,20354,https://navigate.itb.com/company/Fincallorca-GmbH--1215035,Berthold Giesbers,Travel Agency Manager
Finland,Finland,Helsinki,00760,https://navigate.itb.com/company/Finland--1037629,Saija Taattola,Project Manager
Finolhu Baa Atoll Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Finolhu-Baa-Atoll-Maldives--1015581,Samantha Trinidad,Sales & Marketing Executive
Fisherman's Rest,Malawi,Blantyre Rural,0,https://navigate.itb.com/company/Fisherman's-Rest--1215855,Wiktor Chichlowski,Director/ CEO
FIVE Hotels and Resorts,United Arab Emirates,Dubai,6438,https://navigate.itb.com/company/FIVE-Hotels-and-Resorts--1015677,Amanee Razack,Director of Sales
Fiyavalhu Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Fiyavalhu-Maldives--1015688,Aishath Suhaila,Directors of Sales & Marketing
Flamenco Hotels & Resortsd,Egypt,Cairo,11211,https://navigate.itb.com/company/Flamenco-Hotels-Resortsd--1199917,Nasser Salama,Execcutive asst. Manager
Fleesensee Hotelbetriebs GmbH,Germany,Göhren-Lebbin,17213,https://navigate.itb.com/company/Fleesensee-Hotelbetriebs-GmbH--1208211,Susanne Dirnbacher,Cluster Sales Manager Leisure
Flegra Collection,Greece,Pefkohori,63085,https://navigate.itb.com/company/Flegra-Collection--1205462,Yannis Laspas,CEO
Floreal Holidays asbl,Belgium,Bruxelles,1000,https://navigate.itb.com/company/Floreal-Holidays-asbl--1216667,Wim Daniels,Sales & Marketing Director
Flower Hotel & Spa,Albania,Golem,2504,https://navigate.itb.com/company/Flower-Hotel-Spa--1216423,Mireda Caci,Manager
Focus Asia Group,Germany,Erkrath,40699,https://navigate.itb.com/company/Focus-Asia-Group--1214278,Marc Sievert,Director
Focus Hotels S.A.,Poland,Bydgoszcz,85-033,https://navigate.itb.com/company/Focus-Hotels-S-A--1217155,Joanna Chałupka,conference and booking specialist
FORESTERS ARMS,Eswatini,MHLAMBANYATSI,M200,https://navigate.itb.com/company/FORESTERS-ARMS--1016000,RUTH BUCK,MANAGING DIRECTOR
"Fort Arabesque Resorts, spa, and villas",Egypt,Hurghada,1376,https://navigate.itb.com/company/Fort-Arabesque-Resorts-spa-and-villas--1216513,Germine Adel,Marketing Director
"Four Points by Sheraton Production City, Dubai and Royal Regency Suites",United Arab Emirates,Dubai,392236,https://navigate.itb.com/company/Four-Points-by-Sheraton-Production-City-Dubai-and-Royal-Regency-Suites--1216228,Shahzad Butt,General Manager
Four Views Hotels,Portugal,Funchal,9004-541,https://navigate.itb.com/company/Four-Views-Hotels--1016100,Sérgio Costa,
Foxes Safari Camps (foxtreks Ltd),Tanzania,DAR ES SALAAM,0,https://navigate.itb.com/company/Foxes-Safari-Camps-foxtreks-Ltd--1112210,Jane Fox,HOD
FRASER SUITES SEEF & FRASER SUITES AL LIWAN,Bahrain,MANAMA,0,https://navigate.itb.com/company/FRASER-SUITES-SEEF-FRASER-SUITES-AL-LIWAN--1215499,UNNATI SONI,CLUSTER SALES & MARKETING MANAGER
Fuerte Group Hotels,Spain,Marbella,29603,https://navigate.itb.com/company/Fuerte-Group-Hotels--1016711,Margarita Becerra,Senior Contracting Manager
Fujairah Rotana Resort & Spa,United Arab Emirates,Fujairah,1856,https://navigate.itb.com/company/Fujairah-Rotana-Resort-Spa--1216864,Nicolas Chammaa,General Manager
Furaveri Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Furaveri-Maldives--1016787,Ali Shiyad,Deputy Director of Sales & Marketing
Fushifaru Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Fushifaru-Maldives--1215970,Ahmed Siaar,General Manager
Fusion Hotel Group,Vietnam,Ho Chi Minh City,0,https://navigate.itb.com/company/Fusion-Hotel-Group--1216149,Christophe Buchart,Group Commercial Director
Gardaland Resort,Italy,"Castelnuovo del Garda, Verona",37014,https://navigate.itb.com/company/Gardaland-Resort--1016974,Alberto Maffizzoli,International Sales Manager
GARDENA HOTELS SRL - Hotel Principe & Hotel Amadeus,Italy,Venezia,30121,https://navigate.itb.com/company/GARDENA-HOTELS-SRL---Hotel-Principe-Hotel-Amadeus--1207616,Alessandro Zuin,Marketing & Sales manager
Garden Hotel Guangzhou,China,Guangzhou,510064,https://navigate.itb.com/company/Garden-Hotel-Guangzhou--1040206,Renate Kollmann,Representative
Gewan Hotel Management,United Arab Emirates,Dubai,114400,https://navigate.itb.com/company/Gewan-Hotel-Management--1206161,Marwa Fechtani,Corporate Director of Marketing & Communication
Glen Avon Lodge | Woodall Country House & Spa,South Africa,"Addo, Cape Town",6105,https://navigate.itb.com/company/Glen-Avon-Lodge-|-Woodall-Country-House-Spa--1207439,Beate Hoernig-Rosenbaum,Partner/Owner
Gloria Hotels & Resorts,Türkiye,ANTALYA,07506,https://navigate.itb.com/company/Gloria-Hotels-Resorts--1017648,ALEYNA TEOMETE,
GLORY SAFARIS LTD,Kenya,NAIROBI,00200,https://navigate.itb.com/company/GLORY-SAFARIS-LTD--1207189,JASON GITAU,GENERAL MANAGER
Göbel Hotels,Germany,Willingen,34508,https://navigate.itb.com/company/Göbel-Hotels--1017728,Marion Arens,
Goeres Hotels Luxembourg,Luxembourg,Luxembourg,L-2551,https://navigate.itb.com/company/Goeres-Hotels-Luxembourg--1216569,David Klemmer,SALES MANAGER
Go Hotels,Denmark,Kastrup,2770,https://navigate.itb.com/company/Go-Hotels--1215363,Tim Tidman,COO
GOLDEN Hotels & Resorts,Greece,HERAKLION,70014,https://navigate.itb.com/company/GOLDEN-Hotels-Resorts--1207062,Emmanouil Koundourakis,Sales Director
GOLDEN SANDS HOTELS MANAGEMENT CO. LLC,United Arab Emirates,DUBAI,00000,https://navigate.itb.com/company/GOLDEN-SANDS-HOTELS-MANAGEMENT-CO--LLC--1216333,MOHAMMAD KHOORI,CLUSTER GENERAL MANAGER
Golden Tulip Hotel Apartments Sharjah,United Arab Emirates,Sharjah,72595,https://navigate.itb.com/company/Golden-Tulip-Hotel-Apartments-Sharjah--1216186,Hanady Farag,Director of Sales and Marketing
Goldi Sands Hotel / Suriya Resort,Sri Lanka,Negombo,11500,https://navigate.itb.com/company/Goldi-Sands-Hotel-/-Suriya-Resort--1017838,Lal Dissanayake,General Manager
Gondwana Collection Namibia (Pty) Ltd,Namibia,WINDHOEK,10010,https://navigate.itb.com/company/Gondwana-Collection-Namibia-Pty-Ltd--1206327,ANTHEA Cloete,Commercial and Sales Manager
Goodwood Park Hotel,Singapore,Singapore,228221,https://navigate.itb.com/company/Goodwood-Park-Hotel--1206486,Joe Low,
Gorgonia Beach Resort,Egypt,Marsa Alam,12411,https://navigate.itb.com/company/Gorgonia-Beach-Resort--1217136,Mohamed Eid,Director of sales & Marketing
"Graceland Khaolak Co.,Ltd",Thailand,Bangkok,82190,"https://navigate.itb.com/company/Graceland-Khaolak-Co-,Ltd--1215585",Pannoppinan Klinchit,Director of Sales
Grand Cosmopolitan Hotel,United Arab Emirates,Dubai,38250,https://navigate.itb.com/company/Grand-Cosmopolitan-Hotel--1216167,Bashar Turk,Director of Sales & Marketing
GRAND HOTEL DE KINTELE,Congo - Brazzaville,Brazzaville,0000,https://navigate.itb.com/company/GRAND-HOTEL-DE-KINTELE--1215024,Driss CHAFIQ,
Grand Hotel Excelsior,Malta,Floriana,FRN 1810,https://navigate.itb.com/company/Grand-Hotel-Excelsior--1018022,Desiree Van Den Broek,Leisure Sales Manager
Grand Hotel Huis ter Duin,Netherlands,Noordwijk aan Zee,2202BK,https://navigate.itb.com/company/Grand-Hotel-Huis-ter-Duin--1205133,Coen van Veen,International Sales Director
Grandhotel Pupp,Czechia,Karlovy Vary,360 01,https://navigate.itb.com/company/Grandhotel-Pupp--1115630,Gabriela Novotná,
GRAND HOTELS MANAGEMENT and MARKETING Ltd,Bulgaria,Sofia,1000,https://navigate.itb.com/company/GRAND-HOTELS-MANAGEMENT-and-MARKETING-Ltd--1216335,RENETA PETROVA,MARKETING MANAGER
Grand Hyatt Dubai,United Arab Emirates,Dubai,7978,https://navigate.itb.com/company/Grand-Hyatt-Dubai--1020715,Moritz Frings,EAM Sales & Marketing
Grand Mercure Khao Lak Bangsak,Thailand,Takuapa,82190,https://navigate.itb.com/company/Grand-Mercure-Khao-Lak-Bangsak--1215611,ํYupaporn Thongin,Director of sales and marketing
Grand Metropolitan SSC DE GmbH,Germany,Fulda,36041,https://navigate.itb.com/company/Grand-Metropolitan-SSC-DE-GmbH--1214699,Janin Blaser,CCO
Grand Oceans Hospitality,Egypt,Cairo,43511,https://navigate.itb.com/company/Grand-Oceans-Hospitality--1206866,Lamia Assem,
Grand Park Kodhipparu Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Grand-Park-Kodhipparu-Maldives--1215891,Deborah Gray,Directors of Sales & Marketing
Grand Windsock Dive & Beach Resort Bonaire,Caribbean Netherlands,Belnem,00000,https://navigate.itb.com/company/Grand-Windsock-Dive-Beach-Resort-Bonaire--1215329,Sander Winterberg,General Manager
Great Plains Conservation,Seychelles,Victoria,0,https://navigate.itb.com/company/Great-Plains-Conservation--1018126,Alex Walters,Sales & Marketing Manager
Grecoblu Hospitality Managment,Cyprus,Larnaca,40031,https://navigate.itb.com/company/Grecoblu-Hospitality-Managment--1217023,Michalis Hadjiandreou,Commercial Director
GRECOTELS HOTELS & RESORTS,Greece,Rethymno Crete,74100,https://navigate.itb.com/company/GRECOTELS-HOTELS-RESORTS--1018140,Martha Filenta,
GRIFID HOTELS   / HOTEL MANAGEMENT COMPANY Ltd/,Bulgaria,Varna,9007,https://navigate.itb.com/company/GRIFID-HOTELS---/-HOTEL-MANAGEMENT-COMPANY-Ltd--1216509,Tanya Tsvetanova,CEO
Groupe BOAS,Switzerland,Lausanne,1010,https://navigate.itb.com/company/Groupe-BOAS--1216522,Morgan Mouharoul,
GRUPA EUROPLAN,Poland,WARSZAWA,00-014,https://navigate.itb.com/company/GRUPA-EUROPLAN--1217164,ALEKSANDRA STYRNA,Director
GRUPO ALKEMIS TURISTICO SL,Spain,GRANADA,18008,https://navigate.itb.com/company/GRUPO-ALKEMIS-TURISTICO-SL--1216720,CIHAT AKCAY DOGAN,DIRECTOR
Grupo Hotusa,Spain,Barcelona,08013,https://navigate.itb.com/company/Grupo-Hotusa--1018415,Karima El Hamdioui Bousaid,Events
Grupo Vidanta,Mexico,Nayarit,63735,https://navigate.itb.com/company/Grupo-Vidanta--1215224,Adrian Castillo,Associate Director Strategic Marketing & Partnerships
Gruppenunterkünfte MV - Landesverband der Schullandheime Mecklenburg-Vorpommern e.V.,Germany,Schwerin,19063,https://navigate.itb.com/company/Gruppenunterkünfte-MV---Landesverband-der-Schullandheime-Mecklenburg-Vorpommern-e-V--1215537,Stephan Schiller,
Gruppo UNA SpA Hotel & Resorts,Italy,Milano,20159,https://navigate.itb.com/company/Gruppo-UNA-SpA-Hotel-Resorts--1208907,Marco Campari,Leisure Sales Manager
GSH Hotels GmbH,Germany,München,80807,https://navigate.itb.com/company/GSH-Hotels-GmbH--1017902,Bernadett Seehagen,Leisure Sales Manager
GUEST INCOMING,Spain,malaga,29140,https://navigate.itb.com/company/GUEST-INCOMING--1018534,Dolores Gallego sánchez-noriega,Commercial & contracting manager
"Guizhou Guiyao Tourism Development Investment Co., Ltd",China,Shangji Town,56313,https://navigate.itb.com/company/Guizhou-Guiyao-Tourism-Development-Investment-Co-Ltd--1214270,Kun Xu,
GULF HOTELS GROUP,Bahrain,MANAMA,0,https://navigate.itb.com/company/GULF-HOTELS-GROUP--1215381,KHALIL GHANEM,
Güral Premier Hotels&Resorts,Türkiye,Antalya,07500,https://navigate.itb.com/company/Güral-Premier-Hotels-Resorts--1100053,Onur Kilic,Sales & Marketing Representative
H10 HOTELS,Spain,Barcelona,08034,https://navigate.itb.com/company/H10-HOTELS--1018682,Silvia Casas,Events and Fairs Responsible Manager
"Haining Yanguan Ancient City Tourism Co., Ltd.",China,"Yanguan Town, Haining City, Jiaxing City, Zhejiang Province",314400,https://navigate.itb.com/company/Haining-Yanguan-Ancient-City-Tourism-Co-Ltd--1214855,Xueqin Yan,
Hammerstein Africa Lodges,Namibia,Windhoek,10009,https://navigate.itb.com/company/Hammerstein-Africa-Lodges--1209102,Saar Porteus,Managing Director
Hampton by Hilton Marjan Island,United Arab Emirates,Ras Al Khaimah,0000,https://navigate.itb.com/company/Hampton-by-Hilton-Marjan-Island--1018836,Susanne Lorenz,Director of Sales
Hankyu Travel International,Japan,Tokyo,105-0004,https://navigate.itb.com/company/Hankyu-Travel-International--1018879,Sarah Ann Gleisberg,
Harbour Grand Hong Kong,Hong Kong SAR China,Hong Kong,0,https://navigate.itb.com/company/Harbour-Grand-Hong-Kong--1207024,Becky Chan,Director of Sales & Marketing
Harbour Plaza Metropolis & Kowloon Harbourfront Hotel,Hong Kong SAR China,Hong Kong,0,https://navigate.itb.com/company/Harbour-Plaza-Metropolis-Kowloon-Harbourfront-Hotel--1207263,Lucetta Chan,Director of Sales & Marketing
Harbour Plaza North Point,Hong Kong SAR China,Hong Kong,0,https://navigate.itb.com/company/Harbour-Plaza-North-Point--1100294,Billy Wan,Director of Sales
Harpin Hotels,Greece,Georgioupolis,73007,https://navigate.itb.com/company/Harpin-Hotels--1207305,Nikolaos Dimitrakakis,Director of Sales and Revenue
harry's home hotels & apartments,Austria,Innsbruck,6020,https://navigate.itb.com/company/harry's-home-hotels-apartments--1019006,Katharina Schöche,Leisure Sales Manager
HAWAR RESORT BY MANTIS,Bahrain,HAWAR ISLAND,0,https://navigate.itb.com/company/HAWAR-RESORT-BY-MANTIS--1215819,MOOSA ALKHUZAIE,SENIOR SALES MANAGER
HELICONIA AMAZON RIVER LODGE / Corporacion Hotelera y Turistica del Amazonas S.A.,Peru,Loreto,1600,https://navigate.itb.com/company/HELICONIA-AMAZON-RIVER-LODGE-/-Corporacion-Hotelera-y-Turistica-del-Amazonas-S-A--1206651,Magaly Aliaga,Business Development
HELNAN INTERNATIONAL HOTELS.,Egypt,CAIRO,11351,https://navigate.itb.com/company/HELNAN-INTERNATIONAL-HOTELS--1019302,MOHAMED SHAKER RAGAB,EXECUTIVE ASST. MANAGER SALES & MARKETING
Heritance Aarah,Maldives,Male',000,https://navigate.itb.com/company/Heritance-Aarah--1207519,Manujaya Fernando,Deputy General Manager- Sales & Marketing
HF Hotels,Portugal,Porto,4150-702,https://navigate.itb.com/company/HF-Hotels--1019500,Marta Martins,
H Hotels Collection,Greece,"Lardos, Rhodes",85109,https://navigate.itb.com/company/H-Hotels-Collection--1018655,Kyriakos Sarikas,Marketing Manager
HHP HOTELES HACIENDA / HHP Hoteles Hacienda del Peru S.R.L.,Peru,Lima,15074,https://navigate.itb.com/company/HHP-HOTELES-HACIENDA-/-HHP-Hoteles-Hacienda-del-Peru-S-R-L--1206650,Paul Palacios,Commercial Manager
HIDEWAYS AFRICA/JENMAN AFRICAN SAFARIS,South Africa,Cape Town,7708,https://navigate.itb.com/company/HIDEWAYS-AFRICA/JENMAN-AFRICAN-SAFARIS--1022503,Garth Jenman,Managing Director
High Beach S.A.,Greece,Heraklion,71306,https://navigate.itb.com/company/High-Beach-S-A--1216025,Nikos Martimianakis,Director of Sales & Marketing
Naples Bay Resort and Marina,United States of America,Naples,34102,https://navigate.itb.com/company/Naples-Bay-Resort-and-Marina--1215921,Karen Smith,
Hilton,Egypt,cairo,02,https://navigate.itb.com/company/Hilton--1216488,Nevine Esmat,Regional Marketing Manager Hilton Egypt
Hilton Al Habtoor City,United Arab Emirates,Dubai,000000,https://navigate.itb.com/company/Hilton-Al-Habtoor-City--1019582,Dhruv Dua,Director Of Sales
Hilton Dubai Jumeirah,United Arab Emirates,Dubai,31200,https://navigate.itb.com/company/Hilton-Dubai-Jumeirah--1216168,Elli Hepp,Cluster Assistant Director of Sales
Hilton Dubai Palm Jumeirah,United Arab Emirates,Dubai,31200,https://navigate.itb.com/company/Hilton-Dubai-Palm-Jumeirah--1216172,Aniko Joo,Sales Manager
Hilton Garden Inn Évora,Portugal,Évora,7005-413,https://navigate.itb.com/company/Hilton-Garden-Inn-Évora--1216908,Rita Matos,
Hilton Garden Inn Nairobi Airport,Kenya,Nairobi,00406,https://navigate.itb.com/company/Hilton-Garden-Inn-Nairobi-Airport--1207547,Liz Tapawa,Director of Sales & Marketing
Hilton Malta &  Doubletree by Hilton Malta,Malta,St. Julians,STJ4012,https://navigate.itb.com/company/Hilton-Malta--Doubletree-by-Hilton-Malta--1207196,Fabien Vella,Cluster Director of Sales
Hilton Mauritius Resort & Spa,Mauritius,Flic en Flac,0,https://navigate.itb.com/company/Hilton-Mauritius-Resort-Spa--1019607,Karine Bienaimé,
